filename,scene_group,split,annotation_instances,annotation_version,dataset_version
20260729_092402.jpg,scene-0001,train,7,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092409.jpg,scene-0002,train,16,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092432(0).jpg,scene-0003,validation,22,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092434.jpg,scene-0003,validation,16,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092437.jpg,scene-0003,validation,11,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092438.jpg,scene-0003,validation,9,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092441.jpg,scene-0003,validation,22,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092444.jpg,scene-0003,validation,16,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092446(0).jpg,scene-0003,validation,18,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092447.jpg,scene-0003,validation,14,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092449.jpg,scene-0003,validation,13,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092508.jpg,scene-0004,train,3,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092516.jpg,scene-0005,train,1,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092524.jpg,scene-0006,train,7,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092528.jpg,scene-0007,train,8,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092532.jpg,scene-0008,train,9,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092621.jpg,scene-0009,train,10,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092622.jpg,scene-0009,train,10,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092623.jpg,scene-0009,train,10,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092642.jpg,scene-0010,train,7,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_092644.jpg,scene-0010,train,7,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095125.jpg,scene-0011,train,19,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095134.jpg,scene-0011,train,24,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095136(0).jpg,scene-0011,train,25,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095139(0).jpg,scene-0011,train,26,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095144(0).jpg,scene-0011,train,17,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095156.jpg,scene-0012,train,32,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095322(0).jpg,scene-0013,test,6,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095328.jpg,scene-0014,train,4,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095329.jpg,scene-0014,train,4,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095330(0).jpg,scene-0014,train,4,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095337(0).jpg,scene-0014,train,7,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095340.jpg,scene-0014,train,8,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095341.jpg,scene-0014,train,12,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095344.jpg,scene-0014,train,10,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095347(0).jpg,scene-0014,train,7,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095354.jpg,scene-0014,train,10,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095400.jpg,scene-0014,train,8,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095410(0).jpg,scene-0014,train,7,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
20260729_095501.jpg,scene-0015,train,54,seed_plus_active_learning_round_01_v2_owner_accepted,steel_billet_active_learning_round_01_2026-08-03_v3
