image_id,image_name,source_exists,instance_count,image_status,decision_required
0,20260729_092402.jpg,True,7,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
1,20260729_092409.jpg,True,16,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
2,20260729_092508.jpg,True,3,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
3,20260729_092524.jpg,True,7,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
4,20260729_092528.jpg,True,8,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
5,20260729_092532.jpg,True,9,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
6,20260729_092623.jpg,True,10,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
7,20260729_092642.jpg,True,7,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
8,20260729_095125.jpg,True,19,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
9,20260729_095156.jpg,True,32,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
10,20260729_095337(0).jpg,True,7,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
11,20260729_095501.jpg,True,54,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
12,20260729_095507.jpg,True,35,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
13,20260729_095553.jpg,True,36,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
14,20260729_095558.jpg,True,50,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
15,20260729_095641.jpg,True,34,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
16,20260729_095845(0).jpg,True,19,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
17,20260729_100056.jpg,True,14,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
18,20260729_102201.jpg,True,8,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
19,20260729_102225.jpg,True,6,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
20,20260729_102304.jpg,True,6,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
21,20260729_102330.jpg,True,3,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
22,20260729_102539.jpg,True,2,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
23,20260729_102615.jpg,True,2,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
24,20260729_102620.jpg,True,6,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
25,20260729_102803.jpg,True,4,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
26,20260729_102830.jpg,True,6,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
27,20260729_102857.jpg,True,7,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
28,20260729_102919.jpg,True,4,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
29,20260729_103540.jpg,True,1,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
30,20260729_103556.jpg,True,1,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
31,20260729_103803.jpg,True,26,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
32,20260729_103823.jpg,True,27,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
33,20260729_103907(0).jpg,True,65,REVIEW_REQUIRED,Confirm all visible billets are represented and no side surfaces/background/hidden geometry are included.
