"filename","split","old_size","new_size","expected","current"
"20260729_092432(0).jpg","validation","3719207","7518703","14811ab900b86dd47d1a2a01b90c64b7707b01c79a51f9ce840d3e567956ae1c","67e21961945de0999772f0d229a5800242e97309c225fa7e40f6abf0944366ed"
"20260729_092434.jpg","validation","3964346","8088952","deed638ebe64ea5e80fc7a7790cf954552ba449d70496f85cb841b20546c7c0a","25883ee0c5be24c231f2a6eae47952d1ee00efe545a44b36766b9ccaba9c30e9"
"20260729_092437.jpg","validation","4074752","8356659","e593f2b48b97efb724dc7a15ce13101dd9d6a77d24870f37f7cb3bc0d6397adf","9d00e78ba44e96c266f7f7b3a8c58f8ea09012489dbd4ad7dc09c6a202b62861"
"20260729_092438.jpg","validation","4094850","8405134","c379b2d87be57909892687355a972871c945e7f035a993c91f0677b8c5b3107a","306585782a77b62e2658d6ebc804a1c60cf403ddb46fa36b4a815a075b561323"
"20260729_092441.jpg","validation","4017057","8125492","237593523e5b139b254fe2e2592f97cf5b213060afd2b6072178c1720bd1ff28","ab9c0f9461330bc29d33914c5001e5db898cec733f15d704b11cbc9bf795ef60"
"20260729_092444.jpg","validation","3414769","7147436","bff92a1aaca33c070844f83207e29fc0cc370ba808f25002ad649ef3fb6d9bff","212a524bd5e85362edbbf56d8de16d1c0baa04ed23daa97fcfa8a15139b77e6d"
"20260729_092446(0).jpg","validation","3336220","6750154","2642a07bfcbadfaf773df07719c60017629373b13e60401ac20b75eac0377db4","0b13ae884bab9033c55fdcf2339c9cc30556eb8ae9d4778be40305d0fba6d638"
"20260729_092447.jpg","validation","3065485","6200297","f536a4a7caf4204b4e3c7fc50f1cccf4bef33fc339167e4ca85f14db7a0f677b","54c1351664baa565ac7ed172bcb7838799e80453ed490dae82d5b958bd3c5f6c"
"20260729_092449.jpg","validation","2990256","6274001","1a6f854b2ab8c3ae71aed9ebfcd9a6270628538b736c638690e3f4b0f7c2c417","b7572a47f8893459ef6520ea817a88794d924f29e056ee25e6c071b115657587"
"20260729_092516.jpg","train","3749175","7570581","24f9220422f7a22f1fc3e2dedb567b80639e7d3739eec1994854e0d5efb7b87f","1992b5a3ee847b7d52683be58ce895851939dcf6f1acb3a9820d1809b30af46e"
"20260729_092621.jpg","train","14133432","27154325","f9e2659b1015fa801973fdcf84c3efba6c3278b6d6b05448693cdb6b038b9d8b","de6f69fdce4eabca048946234f4a0417f3538dabaf5050ff5fd8c6d50aa84e39"
"20260729_092622.jpg","train","14539470","28023694","14d705198265cedf1ebff2d15346ebd5b7dec65384b737da5abb444a9a0cfc8d","b553b91d64c9eac93c5ff127c376c1c1ea4054ca7817c6aab42992659ad3fada"
"20260729_092644.jpg","train","12929076","25442775","6461e869a9bfc84464cbfbb60ae5c772a2c1c64a4bdf5124d49521385b2ae5bf","99d1531eb81a9b7c0800ae2688debe29578466381550612a0832943924f287cb"
"20260729_095134.jpg","train","3175670","6714775","3cb4f0c83fefdeb44f071e31a69563a5fd394a176da34470107f8098366e7dfa","1be04a2fa7e9d423c45f01d064a26b11a0beec2683e3e16e412301778b0220b2"
"20260729_095136(0).jpg","train","3414015","7286605","c649df433f67374420d32761eedb63d95f62c7252000f01610200daf466c0136","083c2fee4a5e87bb439ba3f505ea221b8f12e4349e154a50770bc51267f9ac80"
"20260729_095139(0).jpg","train","3159216","6738603","bfd5c9909dc3141ad3b54479fd21bf04dc4afea57996b68f8cce699a5c207ad6","9e6c56491640c494ce89aa0340c405241d6c2b50f4062e92e1bf7d3cb4a8ddc8"
"20260729_095144(0).jpg","train","3150699","6830779","afda0976995f9b2a3634fc8a33da4c07e578dabaa7ff436307803fdc88dd7eb8","77d53ef4ea0087b113ad4aa70d17d9cda5c4826d19458ed477a154a64deae6b7"
"20260729_095328.jpg","train","2889045","5910419","24261cf008d5bd9c88de62420ecb1c10b01f69892884d1cc6d01f764679a50e9","19499b2027dfbcc461a1b9acceffe26738ba2882d6286600dc3c8f99ff9c44c7"
